,wordId,word,topicId,dov,dovDelta,composition,dod,dodDelta,numDocs,score
1421,W1421,whistle,T39,0.0015196858479383,-0.1695661485792291,0.1218810508896001,0.0197284281103583,-0.147332408691632,3,1.47
1422,W1422,cream,T78,0.0016241312090767,0.1282682131273666,0.1383068613291353,0.0217183836582419,-0.0453925515003008,4,1.47
1425,W1425,lung,T59,0.0028003817566611,-0.147850886458106,0.2988480113128577,0.0112704464097604,-0.0580865852991078,2,1.45
1428,W1428,lobe,T65,0.001571584615014,0.7570862492510989,0.0858775015294584,0.0112704464097604,-0.0580865852991078,2,1.44
1430,W1430,giraffe,T52,0.0016057931305167,-0.175626926262262,0.1409094497209437,0.0182450860055507,-0.1116026231017027,3,1.46
1442,W1442,crime,T47,0.0043216368507116,0.8160539914887569,0.6173666800994456,0.0695207680760502,0.2124489609835501,13,1.6
1443,W1443,rote,T79,0.0054349966432808,0.0563070000420957,0.3227165720512396,0.0197284281103583,-0.147332408691632,3,1.48
1444,W1444,uphill,T45,0.0011958372490802,0.0220576555257319,0.1584150896489746,0.0171149010807222,0.0303107915991894,3,1.46
1446,W1446,asian,T65,0.0045762434008616,0.6845972901736173,0.3333596579909384,0.0515870732535321,0.0536726893932132,9,1.56
1454,W1454,wooden,T53,0.005619810121643,-0.1653624484421804,0.4601088217243493,0.0307011109244463,-0.1116026231017027,5,1.51
1455,W1455,selfishly,T64,0.0032885460961324,-0.1743387586761451,0.1883047559902528,0.0190675951668295,-0.1116026231017027,3,1.47
1457,W1457,nugget,T65,0.015581354756819,10.180400292025702,0.7287682606897325,0.0773861488890992,1.361047561709813,12,1.67
1474,W1474,outlandish,T95,0.000828607552193757,0.9358375178722343,0.1084816235139794,0.0124560249188956,-0.0232052462034053,2,1.45
1479,W1479,martial,T95,0.0015128893507705,-0.0720195039776857,0.204863953220832,0.0170595074964154,-0.0517395683997043,3,1.46
1483,W1483,soup,T59,0.0076529960818513,0.067475342424758,0.5881181043175476,0.039655793900243,-0.0286207929996754,7,1.54
1485,W1485,amp,T39,0.0064460224387767,0.3719604548528548,0.3845812874809162,0.0338113392292812,-0.0580865852991079,6,1.52
1495,W1495,relive,T27,0.0018599894788788,0.1255526455758301,0.125803756833425,0.0112704464097604,-0.0580865852991078,2,1.44
1496,W1496,catastrophe,T6,0.0063705608401903,0.0675887977311444,0.8203476995537168,0.0590174372432619,0.1298452635892991,11,1.58
1500,W1500,memorize,T49,0.0051717709122852,-0.0173049829832057,0.5015479088525948,0.0488300021286764,-0.0067163689847902,8,1.56
1501,W1501,roundabout,T39,0.0009148046278942832,-0.1311541345875879,0.0654064614457421,0.0124560249188956,-0.0232052462034053,2,1.45
1504,W1504,korean,T64,0.0054564341357312,0.1981914239457191,0.7411492263037011,0.0357230564341293,0.0651921306948918,6,1.52
1509,W1509,revolve,T95,0.0055410949308327,0.1503211695814291,0.3924354218257445,0.0283853474904826,-0.0138878968499592,5,1.5
1513,W1513,annoy,T79,0.0085608389615239,0.3069922556153106,0.6308592583460145,0.0237264713286561,0.1280255178509328,4,1.5
